Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
1,CJ Abrams,TOT,90,284,33,70,12,2,2,21,7,4,5,50,9,2,0,abramcj01
2,Albert Abreu,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abreual01
3,José Abreu,CHW,157,601,85,183,40,0,15,75,0,0,62,110,12,4,2,abreujo02
4,Ronald Acuna Jr.,ATL,119,467,71,124,24,0,15,50,29,11,53,126,10,3,4,acunaro01
5,Willy Adames,MIL,139,563,83,134,31,0,31,98,8,3,49,166,1,4,3,adamewi01
6,Riley Adams,WSN,48,142,14,25,4,0,5,10,0,1,12,46,1,0,0,adamsri03
7,Jo Adell,LAA,88,268,22,60,12,2,8,27,4,2,11,107,4,1,0,adelljo01
8,Ehire Adrianza,TOT,37,97,8,17,3,0,0,7,1,0,11,25,1,1,0,adriaeh01
9,Jesus Aguilar,TOT,129,464,39,109,19,0,16,51,1,0,28,119,4,5,1,aguilje01
10,Ryan Aguilar,LAA,7,22,2,3,1,0,0,2,0,0,2,14,1,1,0,aguilry01
11,Nick Ahmed,ARI,17,52,7,12,2,0,3,7,0,1,2,15,0,0,0,ahmedni01
12,Hanser Alberto,LAD,73,156,13,38,9,2,2,15,0,1,3,25,0,0,0,alberha01
13,Ozzie Albies,ATL,64,247,36,61,16,0,8,35,3,5,16,47,2,4,0,albieoz01
14,Sergio Alcantara,TOT,93,205,26,45,8,1,6,29,1,2,12,57,1,4,0,alcanse01
15,Scott Alexander,SFG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alexasc02
16,Jorge Alfaro,SDP,82,256,25,63,14,0,7,40,1,0,11,98,4,3,0,alfarjo01
17,Anthony Alford,PIT,2,4,0,1,0,0,0,0,0,0,0,2,0,0,0,alforan01
18,Austin Allen,OAK,5,14,1,1,0,0,0,0,0,0,1,9,1,0,0,allenau01
19,Greg Allen,PIT,46,118,17,22,4,0,2,8,8,2,10,42,2,1,0,allengr01
20,Nick Allen,OAK,100,299,31,62,13,0,4,19,3,2,19,64,1,1,0,allenni02
21,Abraham Almonte,BOS,15,35,7,9,2,0,1,2,1,0,1,12,1,0,0,almonab01
22,Albert Almora,CIN,64,215,26,48,10,1,5,29,3,2,17,46,1,1,0,almoral01
23,Pete Alonso,NYM,160,597,95,162,27,0,40,131,5,1,67,128,12,9,16,alonspe01
24,Jose Altuve,HOU,141,527,103,158,39,0,28,57,18,1,66,87,10,1,2,altuvjo01
25,Jose Alvarado,PHI,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,alvarjo03
26,Eddy Alvarez,LAD,14,25,1,4,0,0,0,3,1,0,0,9,0,1,0,alvared01
27,Francisco Álvarez,NYM,5,12,3,2,1,0,1,1,0,0,2,4,0,0,0,alvarfr01
28,Yordan Alvarez,HOU,135,470,95,144,29,2,37,97,1,1,78,106,6,7,9,alvaryo01
29,Brian Anderson,MIA,98,338,43,75,16,1,8,28,1,0,37,101,7,1,2,anderbr06
30,Tim Anderson,CHW,79,332,50,100,13,0,6,25,13,0,14,55,5,0,1,anderti01
31,Tyler Anderson,LAD,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,anderty01
32,Elvis Andrus,TOT,149,535,66,133,32,0,17,58,18,4,39,92,3,0,0,andruel01
33,Miguel Andujar,TOT,36,132,13,31,5,1,1,17,4,1,5,27,0,3,0,andujmi01
34,Mark Appel,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,appelma01
35,Aristides Aquino,CIN,80,259,24,51,13,0,10,30,2,3,17,101,0,0,0,aquinar01
36,Jonathan Aranda,TBR,32,78,10,15,4,0,2,6,0,0,8,23,1,0,1,arandjo01
37,Jonathan Arauz,TOT,15,38,3,5,0,0,1,5,0,0,1,12,0,1,0,arauzjo01
38,Orlando Arcia,ATL,67,209,25,51,9,0,9,30,0,0,21,51,2,2,0,arciaor01
39,Nolan Arenado,STL,148,557,73,163,42,1,30,103,5,3,52,72,7,4,3,arenano01
40,Gabriel Arias,CLE,16,47,9,9,1,1,1,5,1,0,8,16,1,0,0,ariasga01
41,Randy Arozarena,TBR,153,586,72,154,41,3,20,89,32,12,46,156,11,2,2,arozara01
42,Luis Arraez,MIN,144,547,88,173,31,1,8,49,4,4,50,43,3,3,2,arraelu01
43,Christian Arroyo,BOS,87,280,32,80,16,1,6,36,5,1,13,49,3,2,2,arroych01
44,Willians Astudillo,MIA,21,54,5,13,0,0,1,4,1,0,1,3,0,0,0,astudwi01
45,Jose Azocar,SDP,98,202,24,52,9,3,0,10,5,6,12,44,0,1,0,azocajo01
46,Akil Baddoo,DET,73,201,30,41,3,2,2,9,9,6,24,64,0,0,0,baddoak01
47,Harrison Bader,TOT,86,292,38,73,10,3,5,30,17,3,15,62,4,2,0,baderha01
48,Ji Hwan Bae,PIT,10,33,5,11,3,0,0,6,3,0,2,6,2,0,0,baeji01
49,Javier Baez,DET,144,555,64,132,27,4,17,67,9,2,26,147,6,3,1,baezja01
50,Rylan Bannon,TOT,5,14,0,2,0,0,0,0,0,0,0,5,1,0,0,bannory01
51,Daniel Bard,COL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bardda01
52,Joe Barlow,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,barlojo01
53,Scott Barlow,KCR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,barlosc01
54,Austin Barnes,LAD,62,179,31,38,6,0,8,26,2,1,27,37,3,1,0,barneau01
55,Tucker Barnhart,DET,94,281,16,62,10,0,1,16,0,0,25,74,1,0,0,barnhtu01
56,Luis Barrera,OAK,32,77,3,18,5,0,1,7,3,0,6,17,1,1,0,barrelu01
57,Tres Barrera,WSN,19,50,2,9,1,0,0,4,0,0,2,16,0,0,0,barretr01
58,Jose Barrero,CIN,48,165,13,25,3,0,2,10,4,1,9,76,0,0,0,garcijo02
59,Joey Bart,SFG,97,261,34,56,6,0,11,25,2,1,26,112,4,0,0,bartjo01
60,Anthony Bass,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bassan01
61,Matthew Batten,SDP,15,19,0,2,1,0,0,1,0,0,2,6,1,0,0,battema01
62,Brett Baty,NYM,11,38,4,7,0,0,2,5,0,0,2,8,1,0,0,batybr01
63,Félix Bautista,BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bautife01
64,Matt Beaty,SDP,20,43,6,4,1,1,0,1,0,0,2,8,2,0,0,beatyma01
65,Tim Beckham,MIN,12,25,1,2,0,0,0,1,0,0,0,9,0,0,0,beckhti01
66,David Bednar,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bednada01
67,Seth Beer,ARI,38,111,4,21,3,0,1,9,0,0,11,31,3,1,1,beerse01
68,Josh Bell,TOT,156,552,78,147,29,3,17,71,0,1,81,102,5,6,4,belljo02
69,Andrew Bellatti,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bellaan01
70,Cody Bellinger,LAD,144,504,70,106,27,3,19,68,14,3,38,150,2,6,0,bellico01
71,Brandon Belt,SFG,78,254,25,54,9,1,8,23,1,0,37,81,6,1,2,beltbr01
72,Anthony Bemboom,BAL,22,52,4,6,2,0,1,1,0,0,6,17,0,0,0,bemboan01
73,Andrew Benintendi,TOT,126,461,54,140,23,3,5,51,8,3,52,77,2,5,0,beninan01
74,Will Benson,CLE,28,55,8,10,1,0,0,3,0,0,3,19,2,0,0,bensowi01
75,Wynton Bernard,COL,12,42,9,12,1,0,0,3,3,1,0,8,0,0,0,bernawy01
76,Jon Berti,MIA,102,358,47,86,17,3,4,28,41,5,42,89,3,1,0,bertijo01
77,Christian Bethancourt,TOT,100,318,39,80,17,0,11,34,5,1,12,80,2,0,0,bethach01
78,Mookie Betts,LAD,142,572,117,154,40,3,35,82,12,2,55,104,8,4,0,bettsmo01
79,Bo Bichette,TOR,159,652,91,189,43,1,24,93,13,8,41,155,2,2,0,bichebo01
80,Phil Bickford,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bickfph01
81,Cavan Biggio,TOR,97,257,43,52,18,1,6,24,2,0,38,85,6,1,0,biggica01
82,Charlie Blackmon,COL,135,530,60,140,22,6,16,78,4,1,32,109,8,3,4,blackch02
83,Dairon Blanco,KCR,5,7,1,2,0,0,0,2,1,0,0,4,0,0,0,blancda02
84,Travis Blankenhorn,NYM,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,blanktr01
85,JJ Bleday,MIA,65,204,21,34,10,2,5,16,4,1,30,67,2,2,0,bledajj01
86,Richard Bleier,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bleieri01
87,Xander Bogaerts,BOS,150,557,84,171,38,0,15,73,8,2,57,118,10,7,2,bogaexa01
88,Alec Bohm,PHI,152,586,79,164,24,3,13,72,2,3,31,110,4,10,1,bohmal01
89,Ronald Bolanos,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bolanro01
90,Skye Bolt,OAK,42,106,10,21,2,0,4,13,5,0,7,30,2,1,0,boltsk01
91,David Bote,CHC,41,116,15,30,8,0,4,12,1,0,6,45,4,1,0,boteda01
92,Sean Bouchard,COL,27,74,9,22,6,0,3,11,0,0,21,25,1,1,0,bouchse01
93,Bobby Bradley,CLE,8,17,1,2,0,0,0,0,0,0,0,9,0,0,0,bradlbo01
94,Jackie Bradley Jr.,TOT,131,344,30,70,23,1,4,38,2,3,24,77,0,0,0,bradlja02
95,Michael Brantley,HOU,64,243,28,70,14,1,5,26,1,1,31,30,1,1,2,brantmi02
96,Rob Brantly,NYY,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,brantro01
97,Matt Brash,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brashma01
98,Alex Bregman,HOU,155,548,93,142,38,0,23,93,1,2,87,77,11,10,1,bregmal01
99,Will Brennan,CLE,11,42,6,15,1,1,1,8,2,1,2,4,1,0,1,brennwi02
100,Jonah Bride,OAK,58,162,17,33,4,0,1,6,1,0,19,32,4,1,0,bridejo01
101,Lewis Brinson,SFG,16,36,5,6,2,0,3,4,1,0,2,14,0,0,0,brinsle01
102,Mike Brosseau,MIL,69,141,15,36,5,0,6,23,2,0,14,48,5,0,0,brossmi01
103,Seth Brown,OAK,150,500,55,115,26,3,25,73,11,2,51,146,3,1,3,brownse01
104,Justin Bruihl,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bruihju01
105,Vidal Brujan,TBR,52,147,13,24,5,0,3,16,5,5,12,37,1,2,0,brujavi01
106,Kris Bryant,COL,42,160,28,49,12,0,5,14,0,0,17,27,2,2,0,bryankr01
107,Aaron Bummer,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bummeaa01
108,Peyton Burdick,MIA,32,92,8,19,4,0,4,11,1,0,8,35,2,0,0,burdipe01
109,Jake Burger,CHW,51,168,20,42,9,1,8,26,0,0,10,56,3,1,1,burgeja01
110,Alec Burleson,STL,16,48,4,9,1,0,1,3,1,0,5,9,0,0,0,burleal01
111,Byron Buxton,MIN,92,340,61,76,13,3,28,51,6,0,34,116,7,1,0,buxtoby01
112,Miguel Cabrera,DET,112,397,25,101,10,0,5,43,1,0,28,101,3,5,3,cabremi01
113,Oswaldo Cabrera,NYY,44,154,21,38,8,1,6,19,3,2,15,44,0,1,0,cabreos01
114,Lorenzo Cain,MIL,43,145,17,26,5,0,1,9,2,2,8,36,2,1,0,cainlo01
115,Kole Calhoun,TEX,125,388,36,76,14,1,12,49,3,2,27,136,6,3,0,calhoko01
116,Willie Calhoun,TOT,22,52,7,7,3,0,1,3,0,0,9,8,1,0,0,calhowi01
117,Alex Call,TOT,47,114,18,27,3,1,5,13,3,3,15,30,2,0,0,callal02
118,Johan Camargo,PHI,52,152,8,36,3,0,3,15,0,0,13,37,0,0,0,camarjo01
119,Daz Cameron,DET,21,64,6,14,3,1,1,8,2,0,5,20,1,0,0,camerda01
120,Luis Campusano,SDP,16,48,4,12,1,0,1,5,0,0,1,11,0,1,0,campulu01
121,Jeimer Candelario,DET,124,429,49,93,19,2,13,50,0,1,28,109,6,4,1,candeje01
122,Mark Canha,NYM,140,462,71,123,24,0,13,61,3,1,48,97,28,4,1,canhama01
123,Robinson Canó,TOT,33,100,5,15,1,0,1,4,0,0,4,25,0,0,0,canoro01
124,Conner Capel,TOT,22,52,7,16,0,1,3,11,1,1,5,10,0,2,0,capelco01
125,Vinny Capra,TOR,8,5,2,1,0,0,0,0,0,0,2,1,0,0,0,capravi01
126,Victor Caratini,MIL,95,272,26,54,12,0,9,34,0,0,31,67,9,1,1,caratvi01
127,Dylan Carlson,STL,128,432,56,102,30,4,8,42,5,2,45,94,7,4,1,carlsdy01
128,Kerry Carpenter,DET,31,103,16,26,4,1,6,10,0,0,6,32,3,1,0,carpeke01
129,Matt Carpenter,NYY,47,128,28,39,9,0,15,37,0,0,19,35,5,1,1,carpema01
130,Corbin Carroll,ARI,32,104,13,27,9,2,4,14,2,1,8,31,3,0,0,carroco02
131,Curt Casali,TOT,57,148,20,30,4,0,5,17,0,0,24,50,2,2,0,casalcu01
132,Triston Casas,BOS,27,76,11,15,1,0,5,12,1,0,19,23,0,0,0,casastr01
133,Nick Castellanos,PHI,136,524,56,138,27,0,13,62,7,1,29,130,3,2,0,casteni01
134,Diego Castillo,SEA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,castidi01
135,Diego Castillo,PIT,96,262,28,54,13,0,11,29,1,1,14,75,3,4,1,castidi02
136,Harold Castro,DET,120,420,37,114,21,2,7,47,0,1,17,79,1,2,1,castrha01
137,Jason Castro,HOU,34,78,6,9,2,0,1,3,1,0,8,40,1,1,0,castrja01
138,Rodolfo Castro,PIT,71,253,25,59,8,4,11,27,5,3,22,74,2,1,0,castrro01
139,Willi Castro,DET,112,365,47,88,18,2,8,31,9,4,15,82,8,3,0,castrwi01
140,Jake Cave,MIN,54,164,17,35,7,3,5,20,2,0,11,49,0,2,0,caveja01
141,Gilberto Celestino,MIN,122,311,30,74,12,1,2,24,4,1,32,77,2,0,0,celesgi01
142,Yu Chang,TOT,69,168,19,35,6,0,4,15,0,1,16,59,4,2,0,changyu01
143,Matt Chapman,TOR,155,538,83,123,27,1,27,76,2,2,68,170,10,5,1,chapmma01
144,Michael Chavis,PIT,129,401,39,92,16,3,14,49,1,1,19,126,2,4,1,chavimi01
145,Robinson Chirinos,BAL,67,195,10,35,9,0,4,22,1,0,19,67,4,1,0,chiriro01
146,Jazz Chisholm Jr.,MIA,60,213,39,54,10,4,14,45,12,5,21,66,3,3,0,chishja01
147,Ji-Man Choi,TBR,113,356,36,83,22,0,11,52,0,0,58,123,2,3,3,choiji01
148,Taylor Clarke,KCR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clarkta01
149,Kody Clemens,DET,56,117,13,17,4,0,5,17,1,0,8,33,0,2,0,clemeko01
150,Ernie Clement,TOT,69,163,19,30,4,0,0,6,0,1,11,26,2,1,0,clemeer01
151,Dylan Coleman,KCR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colemdy01
152,Zack Collins,TOT,36,97,9,15,4,0,4,11,0,0,9,41,1,1,0,colliza01
153,Alex Colome,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colomal01
154,Mark Contreras,MIN,28,58,9,7,1,0,3,6,1,0,1,21,1,1,0,contrma01
155,William Contreras,ATL,97,334,51,93,14,1,20,45,2,0,39,104,1,2,1,contrwi02
156,Willson Contreras,CHC,113,416,65,101,23,2,22,55,4,2,45,103,24,2,0,contrwi01
157,Garrett Cooper,MIA,119,414,37,108,33,2,9,50,0,0,40,119,10,5,0,coopega03
158,Franchy Cordero,BOS,84,242,36,53,17,1,8,29,4,1,28,92,1,2,1,cordefr02
159,Carlos Correa,MIN,136,522,70,152,24,1,22,64,0,1,61,121,3,4,2,correca01
160,Brandon Crawford,SFG,118,407,50,94,15,2,9,52,1,1,39,98,8,4,3,crawfbr01
161,J.P. Crawford,SEA,145,518,57,126,24,3,6,42,3,2,68,80,10,5,0,crawfjp01
162,C.J. Cron,COL,150,575,79,148,28,3,29,102,0,0,43,164,8,5,6,croncj01
163,Jake Cronenworth,SDP,158,587,88,140,30,4,17,88,3,0,70,131,16,8,3,croneja01
164,Narciso Crook,CHC,4,8,1,2,1,0,0,2,0,0,0,3,0,1,0,crookna01
165,Nelson Cruz,WSN,124,448,50,105,16,0,10,64,4,0,49,119,4,3,1,cruzne02
166,Oneil Cruz,PIT,87,331,45,77,13,4,17,54,10,4,28,126,1,1,1,cruzon01
167,Charlie Culberson,TEX,68,115,19,29,6,0,2,12,2,3,5,31,0,0,0,culbech01
168,Travis d'Arnaud,ATL,107,396,61,106,25,1,18,60,0,0,19,90,11,0,0,darnatr01
169,Bobby Dalbec,BOS,117,317,40,68,9,2,12,39,3,0,29,118,3,4,0,dalbebo01
170,Matt Davidson,TOT,13,34,3,5,0,0,2,3,0,1,3,13,0,0,0,davidma02
171,Brendon Davis,DET,3,10,2,2,0,0,0,0,1,0,1,3,0,0,0,davisbr04
172,J.D. Davis,TOT,115,318,46,79,16,1,12,35,1,1,39,122,6,2,1,davisjd01
173,Jaylin Davis,BOS,12,24,4,8,1,0,0,2,0,0,3,11,0,0,0,davisja03
174,Jonathan Davis,MIL,37,76,9,17,1,0,0,4,7,1,14,26,0,0,0,davisjo05
175,Ronnie Dawson,CIN,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,dawsoro01
176,Yonathan Daza,COL,113,372,56,112,21,2,2,34,0,3,26,58,4,5,0,dazayo01
177,Bryan De La Cruz,MIA,115,329,38,83,20,0,13,43,4,0,19,90,2,4,0,delacbr01
178,Enyel De Los Santos,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,delosen01
179,Austin Dean,SFG,3,8,1,3,0,0,0,0,0,0,1,0,0,0,0,deanau01
180,Paul DeJong,STL,77,210,19,33,9,0,6,25,3,2,21,79,4,2,0,dejonpa01
181,Jason Delay,PIT,57,155,17,33,6,0,1,11,0,2,9,50,2,0,0,delayja01
182,Ben DeLuzio,STL,22,20,3,3,1,0,0,0,0,1,3,5,1,0,0,deluzbe01
183,Travis Demeritte,ATL,26,89,9,19,2,0,3,6,0,0,6,32,0,1,0,demertr01
184,Rafael Devers,BOS,141,555,84,164,42,1,27,88,3,1,50,114,6,3,11,deverra01
185,Aledmys Díaz,HOU,92,305,35,74,13,0,12,38,1,1,18,53,2,2,0,diazal02
186,Edwin Díaz,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,diazed04
187,Elias Diaz,COL,105,351,29,80,18,2,9,51,0,1,25,82,2,3,0,diazel01
188,Jordan Diaz,OAK,15,49,3,13,3,0,0,1,0,0,2,7,0,0,0,diazjo03
189,Lewin Diaz,MIA,58,160,12,27,4,0,5,11,1,0,11,54,1,2,0,diazle01
190,Yainer Diaz,HOU,6,8,0,1,1,0,0,1,0,0,1,2,0,0,0,diazya02
191,Yandy Díaz,TBR,137,473,71,140,33,0,9,57,3,3,78,60,6,1,2,diazya01
192,Yusniel Diaz,BAL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,diazyu01
193,Alex Dickerson,ATL,13,33,3,4,0,0,1,2,0,0,3,9,0,0,0,dickeal01
194,Corey Dickerson,STL,96,281,28,75,17,1,6,36,0,0,12,48,2,2,1,dickeco01
195,Wilmer Difo,ARI,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,difowi01
196,Brandon Dixon,SDP,5,14,1,3,1,0,0,1,0,0,0,5,0,0,0,dixonbr01
197,Josh Donaldson,NYY,132,478,59,106,28,0,15,62,2,2,54,148,8,6,1,donaljo02
198,Brendan Donovan,STL,126,391,64,110,21,1,5,45,2,3,60,70,14,2,1,donovbr01
199,Jeter Downs,BOS,14,39,4,6,1,0,1,4,0,0,1,21,0,1,0,downsje01
200,Hunter Dozier,KCR,128,462,51,109,26,4,12,41,4,3,34,125,3,1,0,doziehu01
201,Brandon Drury,TOT,138,518,87,136,31,2,28,87,2,3,38,126,8,4,0,drurybr01
202,Mauricio Dubon,TOT,104,243,31,52,9,0,5,24,2,3,13,30,1,5,0,dubonma01
203,Tyler Duffey,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,duffety01
204,Matt Duffy,LAA,77,228,14,57,8,0,2,16,0,0,17,50,2,0,0,duffyma01
205,Steven Duggar,TOT,29,72,7,11,3,1,0,4,5,1,7,41,0,1,0,duggast01
206,Joe Dunand,MIA,3,10,2,3,1,0,1,1,0,0,0,3,1,0,0,dunanjo01
207,Ezequiel Duran,TEX,58,208,25,49,10,1,5,25,4,1,12,54,0,0,0,duranez01
208,Jarren Duran,BOS,58,204,23,45,14,3,3,17,7,1,14,63,4,1,0,duranja01
209,Jhoan Duran,MIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,duranjh01
210,Adam Duvall,ATL,86,287,39,61,16,1,12,36,0,2,21,101,5,2,0,duvalad01
211,Nate Eaton,KCR,44,106,16,28,4,3,1,12,11,1,10,30,2,3,0,eatonna01
212,Tommy Edman,STL,153,577,95,153,31,4,13,57,32,3,46,111,5,1,2,edmanto01
213,Drew Ellis,TOT,7,16,2,3,1,0,0,1,0,0,1,7,0,0,0,ellisdr01
214,Jerar Encarnacion,MIA,23,77,7,14,3,0,3,14,2,0,3,32,0,1,0,encarje01
215,Adam Engel,CHW,119,245,32,55,13,1,2,17,12,4,11,76,4,0,1,engelad01
216,Alcides Escobar,WSN,40,124,12,27,4,2,0,8,1,1,5,32,2,0,0,escobal02
217,Eduardo Escobar,NYM,136,495,58,119,26,4,20,69,0,2,40,129,1,6,3,escobed01
218,Santiago Espinal,TOR,135,449,51,120,25,0,7,51,6,6,36,68,2,3,1,espinsa01
219,Carlos Estevez,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,estevca01
220,Thairo Estrada,SFG,140,488,71,127,22,2,14,62,21,6,33,89,14,5,0,estrath01
221,Stuart Fairchild,TOT,46,97,14,24,4,1,5,6,0,2,8,34,5,0,0,faircst01
222,Jeurys Familia,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,familje01
223,Kyle Farmer,CIN,145,526,58,134,25,1,14,78,4,3,33,99,16,6,0,farmeky01
224,Mario Feliciano,MIL,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,felicma01
225,Freddy Fermin,KCR,3,7,1,0,0,0,0,0,0,1,0,3,0,0,0,fermifr01
226,David Fletcher,LAA,61,216,20,55,9,1,2,17,1,0,7,16,3,0,0,fletcda02
227,Wilmer Flores,SFG,151,525,72,120,28,1,19,71,0,0,59,103,11,7,1,florewi01
228,Estevan Florial,NYY,17,31,4,3,0,0,0,1,2,0,3,13,1,0,0,flories01
229,Dylan Floro,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,florody01
230,Mike Ford,TOT,50,131,9,27,5,0,3,10,0,0,17,40,1,0,0,fordmi01
231,Nick Fortes,MIA,72,217,41,50,6,1,9,24,5,3,18,45,5,0,0,forteni01
232,Matt Foster,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fostema01
233,Lucius Fox,WSN,10,25,2,2,0,0,0,2,1,0,1,9,0,0,0,foxlu01
234,Jake Fraley,CIN,68,216,33,56,9,0,12,28,4,1,26,54,3,2,1,fraleja01
235,Ty France,SEA,140,551,65,151,27,1,20,83,0,0,35,94,21,5,3,francty01
236,Maikel Franco,WSN,103,371,31,85,15,0,9,39,1,0,12,75,2,3,0,francma02
237,Wander Franco,TBR,83,314,46,87,20,3,6,33,8,0,26,33,0,4,1,francwa01
238,Adam Frazier,SEA,156,541,61,129,22,4,3,42,11,6,46,73,5,6,1,fraziad01
239,Jackson Frazier,CHC,19,37,4,8,3,0,0,1,1,0,7,11,1,0,0,frazicl01
240,Freddie Freeman,LAD,159,612,117,199,47,2,21,100,13,3,84,102,5,7,12,freemfr01
241,Tyler Freeman,CLE,24,77,9,19,3,0,0,3,1,0,4,11,4,1,0,freemty01
242,TJ Friedl,CIN,72,225,33,54,10,5,8,25,7,2,20,40,7,6,0,friedtj01
243,Michael Fulmer,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fulmemi01
244,Cam Gallagher,KCR,18,42,1,9,5,0,0,5,0,0,3,13,0,0,0,gallaca01
245,Joey Gallo,TOT,126,350,48,56,8,2,19,47,3,0,56,163,3,1,0,gallojo01
246,Ben Gamel,PIT,115,371,42,86,20,2,9,46,5,1,48,98,3,1,2,gamelbe01
247,Adolis García,TEX,156,605,88,151,34,5,27,101,25,6,40,183,6,6,2,garciad02
248,Aramis Garcia,CIN,47,108,6,23,2,0,1,4,0,1,3,34,2,0,0,garciar01
249,Avisail Garcia,MIA,98,357,31,80,9,0,8,35,4,0,17,109,4,2,0,garciav01
250,Dermis Garcia,OAK,39,116,13,24,6,0,5,20,0,0,8,55,1,0,0,garcide02
251,Leury Garcia,CHW,97,300,38,63,8,0,3,20,2,0,7,65,3,3,0,garcile02
252,Luis Garcia,WSN,93,360,29,99,23,2,7,45,3,4,11,84,1,4,1,garcilu04
253,Maikel Garcia,KCR,9,22,1,7,1,0,0,2,0,0,1,5,0,0,0,garcima01
254,Rico Garcia,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,garciri01
255,Kyle Garlick,MIN,66,150,23,35,3,0,9,18,0,0,8,48,3,1,0,garliky01
256,Dustin Garneau,DET,8,10,1,3,1,0,0,1,0,0,1,4,0,0,0,garnedu01
257,Stone Garrett,ARI,27,76,13,21,8,0,4,10,3,1,3,27,1,1,0,garrest01
258,Mitch Garver,TEX,54,188,23,39,7,0,10,24,1,1,23,53,2,2,0,garvemi01
259,Lucas Gilbreath,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gilbrlu01
260,Andres Gimenez,CLE,146,491,66,146,26,3,17,69,20,3,34,112,25,3,4,gimenan01
261,Kevin Ginkel,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ginkeke01
262,Mychal Givens,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,givenmy01
263,Jose Godoy,TOT,10,20,3,1,0,0,0,1,0,0,2,9,0,0,0,godoyjo01
264,Paul Goldschmidt,STL,151,561,106,178,41,0,35,115,7,0,79,141,5,4,1,goldspa01
